GeneMANIA Results
Plugin Version	3.2.1 (20130510-1552)
Data Version	custom
Report Generated	Mon Jul 10 17:26:18 EDT 2017

Gene	Score	Description
TCGA-CZ-5458	0.95	TCGA-CZ-5458
TCGA-B0-4945	0.87	TCGA-B0-4945
TCGA-CZ-5985	0.72	TCGA-CZ-5985
TCGA-CJ-5671	0.11	TCGA-CJ-5671

Network Group	Network	Weight	Title	Authors	Year	Publication	PMID	URL	Processing Method	Interactions	Source	Source URL	Tags
dummy_group		100.00
	MUT_CLASS_I_PI3K_SIGNALING_EVENTS_cont	5.98								105			
	MUT_DNA_DAMAGE_BYPASS_cont	5.03								78			
	MUT_ION_CHANNEL_TRANSPORT_cont	4.74								2485			
	MUT_EUKARYOTIC_TRANSLATION_INITIATION_cont	3.77								171			
	MUT_CAP-DEPENDENT_TRANSLATION_INITIATION_cont	3.77								171			
	MUT_TOLL-LIKE_RECEPTORS_CASCADES_cont	3.70								1081			
	MUT_GAP_JUNCTION_DEGRADATION_cont	3.69								28			
	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont	3.21								276			
	MUT_TRANSLESION_SYNTHESIS_BY_POLI_cont	2.94								21			
	MUT_BIOCARTA_PTC1_PATHWAY_cont	2.87								6			
	MUT_SIGNALING_BY_TGF-BETA_RECEPTOR_COMPLEX_cont	2.85								406			
	MUT_BIOCARTA_CTCF_PATHWAY_cont	2.79								351			
	MUT_ONCOGENE_INDUCED_SENESCENCE_cont	2.70								78			
	MUT_CANONICAL_NF-KAPPAB_PATHWAY_cont	2.65								45			
	MUT_BIOCARTA_TID_PATHWAY_cont	2.54								21			
	MUT_P75_NTR_-MEDIATED_SIGNALING_cont	2.49								210			
	MUT_TRANSLOCATION_OF_GLUT4_TO_THE_PLASMA_MEMBRANE_cont	2.41								136			
	MUT_REGULATION_OF_P38-ALPHA_AND_P38-BETA_cont	2.40								28			
	MUT_NONCANONICAL_WNT_SIGNALING_PATHWAY_cont	2.35								45			
	MUT_BIOCARTA_TH1TH2_PATHWAY_cont	2.18								28			
	MUT_ATR_SIGNALING_PATHWAY_cont	2.10								153			
	MUT_HSF1_ACTIVATION_cont	2.02								3			
	MUT_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1_cont	1.97								15			
	MUT_RETROGRADE_NEUROTROPHIN_SIGNALLING_cont	1.94								10			
	MUT_BIOCARTA_CELLCYCLE_PATHWAY_cont	1.85								15			
	MUT_IL12-MEDIATED_SIGNALING_EVENTS_cont	1.84								406			
	MUT_REDUCTION_OF_CYTOSOLIC_CAplusplus_LEVELS_cont	1.78								10			
	MUT_HDMS_DEMETHYLATE_HISTONES_cont	1.75								120			
	MUT_ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY_cont	1.56								136			
	MUT_G0_AND_EARLY_G1_cont	1.50								10			
	MUT_MUCIN_CORE_1_AND_CORE_2__I_O__I_-GLYCOSYLATION_cont	1.44								66			
	MUT_RNA_POLYMERASE_I_TRANSCRIPTION_cont	1.37								171			
	MUT_BIOCARTA_RANMS_PATHWAY_cont	1.27								1			
	MUT_SA_G1_AND_S_PHASES_cont	1.22								28			
	MUT_SMAD2_SMAD3:SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION_cont	1.20								36			
	MUT_NEGATIVE_REGULATORS_OF_RIG-I_MDA5_SIGNALING_cont	1.17								21			
	MUT_G_BETA:GAMMA_SIGNALLING_THROUGH_PI3KGAMMA_cont	1.01								136			
	MUT_BIOCARTA_IL12_PATHWAY_cont	0.97								28			
	MUT_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS_cont	0.85								55			
	MUT_GLYCOGEN_BREAKDOWN__GLYCOGENOLYSIS__cont	0.74								6			
	MUT_REGULATION_OF_IGF_ACTIVITY_BY_IGFBP_cont	0.62								36			
	MUT_REGULATION_OF_FZD_BY_UBIQUITINATION_cont	0.61								21			
	MUT_MITOTIC_SPINDLE_CHECKPOINT_cont	0.59								36			
	MUT_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS_cont	0.59								36			
	MUT_INACTIVATION_OF_APC_C_VIA_DIRECT_INHIBITION_OF_THE_APC_C_COMPLEX_cont	0.59								36			
	MUT_G1_PHASE_cont	0.50								45			
	MUT_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1_cont	0.50								45			
	MUT_MITOCHONDRIAL_PROTEIN_IMPORT_cont	0.46								45			
	MUT_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR__ANDROGEN_RECEPTOR__REGULATED_GENES_KLK2_AND_KLK3_cont	0.40								3			
	MUT_HEDGEHOG_SIGNALING_PATHWAY_cont	0.31								55			
	MUT_DERMATAN_SULFATE_BIOSYNTHESIS_cont	0.20								15			

Gene 1	Gene 2	Weight	Type	Source
TCGA-B0-5092	TCGA-DV-5576	0.1978602684483968	dummy_group	MUT_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR__ANDROGEN_RECEPTOR__REGULATED_GENES_KLK2_AND_KLK3_cont
TCGA-CJ-5675	TCGA-B0-5092	0.1978602684483968	dummy_group	MUT_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR__ANDROGEN_RECEPTOR__REGULATED_GENES_KLK2_AND_KLK3_cont
TCGA-CJ-5675	TCGA-DV-5576	0.1978602684483968	dummy_group	MUT_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR__ANDROGEN_RECEPTOR__REGULATED_GENES_KLK2_AND_KLK3_cont
TCGA-B0-4697	TCGA-B0-5099	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
TCGA-B0-4697	TCGA-B0-5109	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
TCGA-B0-4697	TCGA-CJ-5678	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
TCGA-B0-4697	TCGA-CZ-5461	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
TCGA-B0-4810	TCGA-B0-4697	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
TCGA-B0-4810	TCGA-B0-4811	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
TCGA-B0-4810	TCGA-B0-4843	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
TCGA-B0-4810	TCGA-B0-5094	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
TCGA-B0-4810	TCGA-B0-5099	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
TCGA-B0-4810	TCGA-B0-5109	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
TCGA-B0-4810	TCGA-BP-4770	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
TCGA-B0-4810	TCGA-CJ-4918	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
TCGA-B0-4810	TCGA-CJ-5678	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
TCGA-B0-4810	TCGA-CZ-5461	0.1394988286187985	dummy_group	MUT_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS_cont
